Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;;;;;;;;;;;
Liberia;Cte d'Ivoire;2.366;-;1.086;;;;;;;;;;;;;;;;;
Liberia;Ghana;5.249;-;5.262;;;;;;;;;;;;;;;;;
Liberia;Guinea;1.761;-;1.787;;;;;;;;;;;;;;;;;
Liberia;Sierra Leone;2.776;-;1.326;;;;;;;;;;;;;;;;;
Liberia;United States;1.685;-;1.357;;;;;;;;;;;;;;;;;
Mali;Burkina Faso;28.684;7.737;31.604;;;;;;;;;;;;;;;;;
Mali;France;3.719;-;3.934;;;;;;;;;;;;;;;;;
Mali;Italy;3.569;-;5.552;;;;;;;;;;;;;;;;;
Mali;Mauritania;66.393;4.551;48.912;;;;;;;;;;;;;;;;;
Mali;Niger;48.928;6.304;47.466;;;;;;;;;;;;;;;;;
Mali;United States;1.071;-;1.178;;;;;;;;;;;;;;;;;
Mauritania;France;5.101;-;5.058;;;;;;;;;;;;;;;;;
Mauritania;Mali;12.897;-;12.898;;;;;;;;;;;;;;;;;
Mauritania;Senegal;13.703;-;13.699;;;;;;;;;;;;;;;;;
Mauritania;United States;1.544;-;1.327;;;;;;;;;;;;;;;;;
Mexico;Canada;6.512;-;6.762;;;;;;;;;;;;;;;;;
Mexico;United States;2.795;-;3.807;;;;;;;;;;;;;;;;;
Myanmar5;Bangladesh;231.125;-;232.462;;;;;;;;;;;;;;;;;
Myanmar;India;11.122;-;14.301;;;;;;;;;;;;;;;;;
Myanmar6;Japan;1.831;-;1.889;;;;;;;;;;;;;;;;;
Myanmar;Malaysia;92.287;-;93.866;;;;;;;;;;;;;;;;;
Myanmar;Thailand;135.476;-;128.863;;;;;;;;;;;;;;;;;
Myanmar;United States;2.471;-;2.204;;;;;;;;;;;;;;;;;
Nepal;Canada;1.212;-;1.223;;;;;;;;;;;;;;;;;
Nepal;United States;5.771;-;6.197;;;;;;;;;;;;;;;;;
Nigeria;Cameroon;7.459;-;39.968;;;;;;;;;;;;;;;;;
Nigeria;Canada;4.441;-;4.683;;;;;;;;;;;;;;;;;
Nigeria;Chad;553;-;2.930;;;;;;;;;;;;;;;;;
Nigeria;France;988;-;1.102;;;;;;;;;;;;;;;;;
Nigeria;Italy;4.192;-;6.293;;;;;;;;;;;;;;;;;
Nigeria;Niger;8.385;-;30.000;;;;;;;;;;;;;;;;;
Nigeria;United Kingdom;1.244;-;1.469;;;;;;;;;;;;;;;;;
Pakistan;Afghanistan;16.825;-;300.385;;;;;;;;;;;;;;;;;
Pakistan;Australia;2.608;-;3.024;;;;;;;;;;;;;;;;;
Pakistan;Canada;10.641;-;8.613;;;;;;;;;;;;;;;;;
Pakistan;Germany;3.387;-;4.331;;;;;;;;;;;;;;;;;
Pakistan;Italy;3.367;-;5.764;;;;;;;;;;;;;;;;;
Pakistan;United Kingdom;5.297;-;5.669;;;;;;;;;;;;;;;;;
Pakistan;United States;2.997;-;3.009;;;;;;;;;;;;;;;;;
Palestinian7;Algeria;4.017;-;4.016;;;;;;;;;;;;;;;;;
Palestinian7;Cyprus;1.723;-;1.739;;;;;;;;;;;;;;;;;
Palestinian7;Egypt;70.026;-;70.023;;;;;;;;;;;;;;;;;
Palestinian7;Iraq;9.992;-;9.246;;;;;;;;;;;;;;;;;
Palestinian7;Libya;4.815;-;5.391;;;;;;;;;;;;;;;;;
Peru;Canada;1.757;-;1.505;;;;;;;;;;;;;;;;;
Rep. of Moldova;United States;1.028;-;1.138;;;;;;;;;;;;;;;;;
Russian Federation;Austria;19.577;-;19.577;;;;;;;;;;;;;;;;;
Russian Federation;Belgium9;2.177;-;2.193;;;;;;;;;;;;;;;;;
Russian Federation;Canada;1.527;-;1.315;;;;;;;;;;;;;;;;;
Russian Federation;Denmark;1.023;-;1.051;;;;;;;;;;;;;;;;;
Russian Federation;France;12.795;-;13.644;;;;;;;;;;;;;;;;;
Russian Federation;Germany;4.358;-;4.608;;;;;;;;;;;;;;;;;
Russian Federation;Norway;3.334;-;2.328;;;;;;;;;;;;;;;;;
Russian Federation;Poland;15.149;-;14.277;;;;;;;;;;;;;;;;;
Russian Federation;Sweden;1.941;-;2.014;;;;;;;;;;;;;;;;;
Russian Federation;United States;6.461;-;6.163;;;;;;;;;;;;;;;;;
Rwanda;Canada;1.655;-;1.647;;;;;;;;;;;;;;;;;
Rwanda;Congo;8.496;20;9.104;;;;;;;;;;;;;;;;;
Rwanda8;Dem. Rep. of the Congo;43.674;5.645;38.028;;;;;;;;;;;;;;;;;
Rwanda;France;2.840;-;2.833;;;;;;;;;;;;;;;;;
Rwanda;Malawi;1.935;5;1.980;;;;;;;;;;;;;;;;;
Rwanda;South Africa;1.366;*;1.814;;;;;;;;;;;;;;;;;
Rwanda;Uganda;13.376;40;14.312;;;;;;;;;;;;;;;;;
Rwanda;United States;959;-;1.020;;;;;;;;;;;;;;;;;
Rwanda;Zambia;1.995;*;1.904;;;;;;;;;;;;;;;;;
Saint Vincent and the Grenadines;Canada;1.524;-;1.723;;;;;;;;;;;;;;;;;
Senegal;Gambia;9.025;-;11.036;;;;;;;;;;;;;;;;;
Senegal;Guinea-Bissau;8.445;-;8.601;;;;;;;;;;;;;;;;;
Senegal;Italy;606;-;1.477;;;;;;;;;;;;;;;;;
Serbia and Kosovo (S/RES/1244 (1999));Austria;3.075;-;3.075;;;;;;;;;;;;;;;;;
Serbia and Kosovo (S/RES/1244 (1999));France;11.738;-;12.119;;;;;;;;;;;;;;;;;
Serbia and Kosovo (S/RES/1244 (1999));Germany;8.410;-;9.294;;;;;;;;;;;;;;;;;
Serbia and Kosovo (S/RES/1244 (1999));Italy;2.673;-;2.686;;;;;;;;;;;;;;;;;
Serbia and Kosovo (S/RES/1244 (1999));Montenegro;6.967;131;5.633;;;;;;;;;;;;;;;;;
Serbia and Kosovo (S/RES/1244 (1999));Sweden;3.608;-;3.082;;;;;;;;;;;;;;;;;
Serbia and Kosovo (S/RES/1244 (1999));Switzerland;3.542;-;3.380;;;;;;;;;;;;;;;;;
Serbia and Kosovo (S/RES/1244 (1999));United States;1.695;-;1.596;;;;;;;;;;;;;;;;;
Somalia;Austria;2.278;-;2.278;;;;;;;;;;;;;;;;;
Somalia;Canada;3.225;-;2.821;;;;;;;;;;;;;;;;;
Somalia;Denmark;798;-;1.134;;;;;;;;;;;;;;;;;
Somalia;Djibouti;19.169;-;19.720;;;;;;;;;;;;;;;;;
Somalia;Egypt;6.316;-;5.733;;;;;;;;;;;;;;;;;
